,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
0,"#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments,",,,,,,,,
90,"90	Influenza A virus (A/Anas platyrhynchos/Chany Lake/12/03(H3))	Anas platyrhynchos	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
91,"91	Influenza A virus (A/Anas platyrhynchos/Chany Lake/7/03(H2N?))	Anas platyrhynchos	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
92,"92	Influenza A virus (A/Anas platyrhynchos/Chany Lake/8/03(H2))	Anas platyrhynchos	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
93,"93	Influenza A virus (A/Anas platyrhynchos/Chany Lake/9/03(H5N3))	Anas platyrhynchos	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
94,"94	Influenza A virus (A/Anhui/1/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
95,"95	Influenza A virus (A/Anhui/2/2005(H5N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
96,"96	Influenza A virus (A/Ann_Arbor/3/93(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
97,"97	Influenza A virus (A/Ann Arbor/6/1960(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
98,"98	Influenza A virus (A/Ann Arbor/6/60(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
99,"99	Influenza A virus (A/AnnArbor/7/67(H2N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
100,"100	Influenza A virus (A/aquatic bird/Hong Kong/399/99(H3N8))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
101,"101	Influenza A virus (A/Aquatic bird/Hong Kong/M603/98(H11N1))	Aves	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
102,"102	Influenza A virus (A/arctic tern/Alaska/300/1975(H5N3))	Sterna paradisaea	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
103,"103	Influenza A virus (A/Argentina/207/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
104,"104	Influenza A virus (A/Argentina/3105/93(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
105,"105	Influenza A virus (A/Argentina/3779/94(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
106,"106	Influenza A virus (A/Argentina/39/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
107,"107	Influenza A virus (A/Argentina/4057/95(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
108,"108	Influenza A virus (A/Argentina/601/96(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
109,"109	Influenza A virus (A/Arizona/1/1990(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
110,"110	Influenza A virus (A/Arizona/1/2006(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
111,"111	Influenza A virus (A/Arizona/2/2003(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
112,"112	Influenza A virus (A/Arizona/6/2003(H1N1))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
113,"113	Influenza A virus (A/Ashburton/280/2004(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
114,"114	Influenza A virus (A/Asuncion/918/2001(H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
115,"115	Influenza A virus (A/Athens/135/99 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
116,"116	Influenza A virus (A/Athens/16/98 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
117,"117	Influenza A virus (A/Athens/1/98 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
118,"118	Influenza A virus (A/Athens/23/97 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
119,"119	Influenza A virus (A/Athens/2/97 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
120,"120	Influenza A virus (A/Athens/2/98 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
121,"121	Influenza A virus (A/Athens/76/98 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
122,"122	Influenza A virus (A/Athens/7/98 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
123,"123	Influenza A virus (A/Athens/8/97 (H3N2))	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
