,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
0,"#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments,",,,,,,,,
1838,"8940	Influenza B virus (B/Arizona/2/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1839,"8941	Influenza B virus (B/Arizona/2e/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1840,"8942	Influenza B virus (B/Arizona/3/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1841,"8943	Influenza B virus (B/Arizona/4/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1842,"8944	Influenza B virus (B/Arizona/4/2006)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1843,"8945	Influenza B virus (B/Arizona/48/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1844,"8946	Influenza B virus (B/Arizona/5/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1845,"8947	Influenza B virus (B/Arizona/59/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1846,"8948	Influenza B virus (B/Arizona/7/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1847,"8949	Influenza B virus (B/Auckland/01/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1848,"8950	Influenza B virus (B/Bangkok/34/99)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1849,"8951	Influenza B virus (B/Bangkok/460/03)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1850,"8952	Influenza B virus (B/Bangkok/54/99)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1851,"8953	Influenza B virus (B/Barcelona/215/03)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1852,"8954	Influenza B virus (B/Beijing/15/84)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1853,"8955	Influenza B virus (B/Beijing/184/93)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1854,"8956	Influenza B virus (B/Beijing/243/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1855,"8957	Influenza B virus (B/Beijing/43/75)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1856,"8958	Influenza B virus (B/Beijing/5/76)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1857,"8959	Influenza B virus (B/Beijing/76/98)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1858,"8960	Influenza B virus (B/Belgium/WV106/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1859,"8961	Influenza B virus (B/Belgium/WV107/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1860,"8962	Influenza B virus (B/Belgium/WV109/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1861,"8963	Influenza B virus (B/Belgium/WV114/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1862,"8964	Influenza B virus (B/Belgium/WV122/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1863,"8965	Influenza B virus (B/Bonn/43)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1864,"8966	Influenza B virus (B/Brazil/017/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1865,"8967	Influenza B virus (B/Brazil/053/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1866,"8968	Influenza B virus (B/Brazil/055/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1867,"8969	Influenza B virus (B/Brazil/064/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1868,"8970	Influenza B virus (B/Brazil/074/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1869,"8971	Influenza B virus (B/Brazil/079/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1870,"8972	Influenza B virus (B/Brazil/110/01)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1871,"8973	Influenza B virus (B/Brazil/952/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1872,"8974	Influenza B virus (B/Brazil/975/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1873,"8975	Influenza B virus (B/Brisbane/32/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1874,"8976	Influenza B virus (B/Bucharest/311/1998)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1875,"8977	Influenza B virus (B/Bucharest/795/03)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1876,"8978	Influenza B virus (B/Buenos Aires/161/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1877,"8979	Influenza B virus (B/Buenos Aires/9/95)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1878,"8980	Influenza B virus (B/Buenos Aires/SW16/97)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1879,"8981	Influenza B virus (B/Buenos Aires/VL518/99)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1880,"8982	Influenza B virus (B/California/01/1995)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1881,"8983	Influenza B virus (B/California/10/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1882,"8984	Influenza B virus (B/California/11/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1883,"8985	Influenza B virus (B/California/1/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1884,"8986	Influenza B virus (B/California/14/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1885,"8987	Influenza B virus (B/California/2/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1886,"8988	Influenza B virus (B/California/2/2003)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1887,"8989	Influenza B virus (B/California/3/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1888,"8990	Influenza B virus (B/California/3/2004)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1889,"8991	Influenza B virus (B/California/6/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1890,"8992	Influenza B virus (B/California/7/2005)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1891,"8993	Influenza B virus (B/Canada/16188/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1892,"8994	Influenza B virus (B/Canada/464/2001)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1893,"8995	Influenza B virus (B/Canada/464/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1894,"8996	Influenza B virus (B/Chaco/366/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1895,"8997	Influenza B virus (B/Chaco/R113/00)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1896,"8998	Influenza B virus (B/Cheju/303/03)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1897,"8999	Influenza B virus (B/Chiba/447/98)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1898,"9000	Influenza B virus (B/Chongqing/3/2000)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1899,"9001	Influenza B virus (B/clinical isolate SA100 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1900,"9002	Influenza B virus (B/clinical isolate SA101 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1901,"9003	Influenza B virus (B/clinical isolate SA102 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1902,"9004	Influenza B virus (B/clinical isolate SA103 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1903,"9005	Influenza B virus (B/clinical isolate SA104 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1904,"9006	Influenza B virus (B/clinical isolate SA105 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1905,"9007	Influenza B virus (B/clinical isolate SA106 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1906,"9008	Influenza B virus (B/clinical isolate SA107 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1907,"9009	Influenza B virus (B/clinical isolate SA108 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1908,"9010	Influenza B virus (B/clinical isolate SA109 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1909,"9011	Influenza B virus (B/clinical isolate SA10 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1910,"9012	Influenza B virus (B/clinical isolate SA110 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1911,"9013	Influenza B virus (B/clinical isolate SA112 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1912,"9014	Influenza B virus (B/clinical isolate SA113 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1913,"9015	Influenza B virus (B/clinical isolate SA114 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1914,"9016	Influenza B virus (B/clinical isolate SA115 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1915,"9017	Influenza B virus (B/clinical isolate SA116 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1916,"9018	Influenza B virus (B/clinical isolate SA11 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1917,"9019	Influenza B virus (B/clinical isolate SA12 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1918,"9020	Influenza B virus (B/clinical isolate SA13 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1919,"9021	Influenza B virus (B/clinical isolate SA14 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1920,"9022	Influenza B virus (B/clinical isolate SA15 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1921,"9023	Influenza B virus (B/clinical isolate SA16 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1922,"9024	Influenza B virus (B/clinical isolate SA17 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1923,"9025	Influenza B virus (B/clinical isolate SA18 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1924,"9026	Influenza B virus (B/clinical isolate SA19 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1925,"9027	Influenza B virus (B/clinical isolate SA1 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1926,"9028	Influenza B virus (B/clinical isolate SA20 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1927,"9029	Influenza B virus (B/clinical isolate SA21 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1928,"9030	Influenza B virus (B/clinical isolate SA22 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1929,"9031	Influenza B virus (B/clinical isolate SA23 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1930,"9032	Influenza B virus (B/clinical isolate SA24 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1931,"9033	Influenza B virus (B/clinical isolate SA25 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1932,"9034	Influenza B virus (B/clinical isolate SA26 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1933,"9035	Influenza B virus (B/clinical isolate SA27 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1934,"9036	Influenza B virus (B/clinical isolate SA28 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1935,"9037	Influenza B virus (B/clinical isolate SA29 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1936,"9038	Influenza B virus (B/clinical isolate SA2 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1937,"9039	Influenza B virus (B/clinical isolate SA30 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1938,"9040	Influenza B virus (B/clinical isolate SA31 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1939,"9041	Influenza B virus (B/clinical isolate SA32 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1940,"9042	Influenza B virus (B/clinical isolate SA33 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1941,"9043	Influenza B virus (B/clinical isolate SA34 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1942,"9044	Influenza B virus (B/clinical isolate SA37 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1943,"9045	Influenza B virus (B/clinical isolate SA38 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1944,"9046	Influenza B virus (B/clinical isolate SA39 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1945,"9047	Influenza B virus (B/clinical isolate SA3 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1946,"9048	Influenza B virus (B/clinical isolate SA40 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1947,"9049	Influenza B virus (B/clinical isolate SA41 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1948,"9050	Influenza B virus (B/clinical isolate SA42 Philippines/2002)	Unknown	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1949,"9051	Influenza B virus (B/clinical isolate SA43 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1950,"9052	Influenza B virus (B/clinical isolate SA44 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1951,"9053	Influenza B virus (B/clinical isolate SA45 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1952,"9054	Influenza B virus (B/clinical isolate SA46 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1953,"9055	Influenza B virus (B/clinical isolate SA47 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1954,"9056	Influenza B virus (B/clinical isolate SA50 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1955,"9057	Influenza B virus (B/clinical isolate SA51 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1956,"9058	Influenza B virus (B/clinical isolate SA52 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1957,"9059	Influenza B virus (B/clinical isolate SA53 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1958,"9060	Influenza B virus (B/clinical isolate SA57 Philippines/2002)	Unknown	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1959,"9061	Influenza B virus (B/clinical isolate SA58 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1960,"9062	Influenza B virus (B/clinical isolate SA59 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1961,"9063	Influenza B virus (B/clinical isolate SA5 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1962,"9064	Influenza B virus (B/clinical isolate SA60 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1963,"9065	Influenza B virus (B/clinical isolate SA61 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1964,"9066	Influenza B virus (B/clinical isolate SA62 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1965,"9067	Influenza B virus (B/clinical isolate SA63 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1966,"9068	Influenza B virus (B/clinical isolate SA64 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1967,"9069	Influenza B virus (B/clinical isolate SA65 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1968,"9070	Influenza B virus (B/clinical isolate SA66 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1969,"9071	Influenza B virus (B/clinical isolate SA67 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1970,"9072	Influenza B virus (B/clinical isolate SA68 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1971,"9073	Influenza B virus (B/clinical isolate SA69 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1972,"9074	Influenza B virus (B/clinical isolate SA6 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1973,"9075	Influenza B virus (B/clinical isolate SA70 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1974,"9076	Influenza B virus (B/clinical isolate SA71 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1975,"9077	Influenza B virus (B/clinical isolate SA73 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1976,"9078	Influenza B virus (B/clinical isolate SA74 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1977,"9079	Influenza B virus (B/clinical isolate SA76 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1978,"9080	Influenza B virus (B/clinical isolate SA77 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1979,"9081	Influenza B virus (B/clinical isolate SA78 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1980,"9082	Influenza B virus (B/clinical isolate SA79 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1981,"9083	Influenza B virus (B/clinical isolate SA7 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1982,"9084	Influenza B virus (B/clinical isolate SA80 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1983,"9085	Influenza B virus (B/clinical isolate SA81 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1984,"9086	Influenza B virus (B/clinical isolate SA82 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1985,"9087	Influenza B virus (B/clinical isolate SA83 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1986,"9088	Influenza B virus (B/clinical isolate SA84 Philippines/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1987,"9089	Influenza B virus (B/clinical isolate SA85 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1988,"9090	Influenza B virus (B/clinical isolate SA86 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1989,"9091	Influenza B virus (B/clinical isolate SA87 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1990,"9092	Influenza B virus (B/clinical isolate SA88 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1991,"9093	Influenza B virus (B/clinical isolate SA89 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
1992,"9094	Influenza B virus (B/clinical isolate SA8 Thailand/2002)	Homo sapiens	Influenza				URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		,",,,,,,,,
