,pathogen,source,disease,tsource,ttype,portal,infection_atts,tatts,TBD
377,Nipah virus,Homo sapiens,Nipah virus encephalitis,bodily fluid,vehicle-borne medical,undocumented,PMID:16494748,PMID:16494748,
378,Hendra virus,Homo sapiens,Hendra viral infection,Equus caballus,contact,undocumented,PMID:10520634;PMID:17520553,PMID:10520634;PMID:17520553,
379,Hendra virus,Equus caballus,Hendra viral infection,undocumented,undocumented,undocumented,PMID:17520553,PMID:17520553,
380,Hendra virus,Homo sapiens,Hendra viral infection,bodily fluid,vehicle-borne medical,undocumented,PMID:17520553,PMID:17520553,
381,Hendra virus,Homo sapiens,Hendra viral infection,urine,vehicle-borne medical,undocumented,PMID:17520553,PMID:17520553,
382,Nipah virus,Cynopterus brachyotis,no disease,undocumented,undocumented,undocumented,PMID:11384522,PMID:11384522,
383,Nipah virus,Eonycteris spelaea,no disease,undocumented,undocumented,undocumented,PMID:11384522,PMID:11384522,
384,Nipah virus,Pteropus hypomelanus,no disease,undocumented,undocumented,undocumented,PMID:11384522,PMID:11384522,
385,Nipah virus,Pteropus vampyrus,no disease,undocumented,undocumented,undocumented,PMID:11384522,PMID:11384522,
386,Ebola-like viruses,Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
387,Cote d'Ivoire ebolavirus,Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
388,"Cote d'Ivoire ebolavirus - Cote d'Ivoire (Tai Forest, 1994)",Homo sapiens,Ebola virus disease,Pan troglodytes verus,undocumented,undocumented,PMID:15752448;PMID:15569802,PMID:15752448;PMID:15569802,
389,Reston ebolavirus,Pan troglodytes,Ebola virus disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
390,Reston ebolavirus - Reston,Pan troglodytes,Ebola virus disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
391,Reston ebolavirus - Reston (1989),Pan troglodytes,Ebola virus disease,air,airborne,respiratory system,PMID:15752448,PMID:15752448,
392,Reston ebolavirus - Siena/Philippine-92,Pan troglodytes,Ebola virus disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
393,Sudan ebolavirus,Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
394,Sudan ebolavirus - Boniface (1976),Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,PMID:15569802,PMID:15569802,
395,Sudan ebolavirus - Maleo (1979),Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,PMID:15367603,PMID:15367603,
396,Sudan ebolavirus - Uganda (2000),Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,PMID:15367603,PMID:15367603,
397,Zaire ebolavirus,Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
398,"Zaire ebolavirus - Eckron (Zaire, 1976)",Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,PMID:15569802,PMID:15569802,
399,Zaire ebolavirus - Gabon (1994-1997),Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,PMID:15569802,PMID:15569802,
400,"Zaire ebolavirus - Mayinga (Zaire, 1976)",Homo sapiens,Ebola virus disease,undocumented,undocumented,undocumented,PMID:9185597,PMID:9185597,
401,Zaire ebolavirus - Zaire (1995),Homo sapiens,Ebola virus disease,Homo sapiens,contact,undocumented,PMID:9988181,PMID:9988181,
402,Ebola-like viruses,Homo sapiens,Ebola virus disease,hypodermic needle,vehicle-borne fomite,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
403,Ebola-like viruses,Homo sapiens,Ebola virus disease,bodily fluid,vehicle-borne medical,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
404,Ebola-like viruses,Homo sapiens,Ebola virus disease,blood,vehicle-borne medical,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
405,Ebola-like viruses,Homo sapiens,Ebola virus disease,Homo sapiens,contact,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
406,Zaire ebolavirus,Gorilla gorilla,Ebola virus disease,undocumented,undocumented,undocumented,PMID:17158318,PMID:17158318,
407,Zaire ebolavirus,Pan troglodytes,Ebola virus disease,undocumented,undocumented,undocumented,PMID:17158318,PMID:17158318,
408,Ebola-like viruses,Hypsignathus monstrosus,no disease,undocumented,undocumented,undocumented,PMID:17069458;infection_cvterm=is_reservoir,PMID:17069458,
409,Ebola-like viruses,Epomops franqueti,no disease,undocumented,undocumented,undocumented,PMID:17069458;infection_cvterm=is_reservoir,PMID:17069458,
410,Ebola-like viruses,Myonycteris torquata,no disease,undocumented,undocumented,undocumented,PMID:17069458;infection_cvterm=is_reservoir,PMID:17069458,
411,Zaire ebolavirus,Homo sapiens,Ebola virus disease,Gorilla gorilla,contact,skin,PMID:16824905,PMID:16824905,
412,Zaire ebolavirus,Gorilla gorilla gorilla,Ebola virus disease,undocumented,undocumented,undocumented,PMID:16824905,PMID:16824905,
413,Reston ebolavirus - Reston,Homo sapiens,no disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
414,Ebola-like viruses,Homo sapiens,Ebola virus disease,undocumented,contact,undocumented,PMID:16603611,PMID:16603611,
415,"Cote d'Ivoire ebolavirus - Cote d'Ivoire (Tai Forest, 1994)",Pan troglodytes verus,Ebola virus disease,undocumented,undocumented,undocumented,PMID:15752448;PMID:15569802,PMID:15752448;PMID:15569802,
416,Ebola-like viruses,Cephalophinae,Ebola virus disease,undocumented,undocumented,undocumented,PMID:15752448,PMID:15752448,
417,Zaire ebolavirus,Homo sapiens,Ebola virus disease,Pan troglodytes,undocumented,undocumented,PMID:15752448,PMID:15752448,
418,Zaire ebolavirus,Homo sapiens,Ebola virus disease,Cephalophinae,undocumented,undocumented,PMID:15752448,PMID:15752448,
419,Zaire ebolavirus,Gorilla gorilla,Ebola virus disease,undocumented,contact,undocumented,PMID:15752448,PMID:15752448,
420,Zaire ebolavirus,Pan troglodytes,Ebola virus disease,undocumented,contact,undocumented,PMID:15752448,PMID:15752448,
421,Zaire ebolavirus,Cephalophinae,Ebola virus disease,undocumented,contact,undocumented,PMID:15752448,PMID:15752448,
422,Zaire ebolavirus,Homo sapiens,Ebola virus disease,Homo sapiens,contact,undocumented,PMID:15752448,PMID:15752448,
423,Zaire ebolavirus,Homo sapiens,Ebola virus disease,Pan troglodytes,contact,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
424,Sudan ebolavirus,Homo sapiens,Ebola virus disease,undocumented,contact,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
425,Zaire ebolavirus,Homo sapiens,Ebola virus disease,hypodermic needle,vehicle-borne fomite,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
426,Sudan ebolavirus,Homo sapiens,Ebola virus disease,hypodermic needle,vehicle-borne fomite,skin,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
427,Reston ebolavirus - Reston (1989),Homo sapiens,no disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
428,Reston ebolavirus - Siena/Philippine-92,Homo sapiens,no disease,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,URL:http://www.cdc.gov/ncidod/dvrd/spb/mnpages/dispages/Fact_Sheets/Ebola_Fact_Booklet.pdf,
429,Zaire ebolavirus,Homo sapiens,Ebola virus disease,Gorilla gorilla,vehicle-borne ingestion,digestive system,PMID:16002313,PMID:16002313,
430,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Aedes,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
431,Eastern equine encephalitis virus,Agelaius phoeniceus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
432,Eastern equine encephalitis virus,Passeriformes,no disease,Culiseta melanura,vehicle-borne ingestion,digestive system,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
433,Eastern equine encephalitis virus,Turdidae,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
434,Eastern equine encephalitis virus,Hylocichla mustelina,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
435,Eastern equine encephalitis virus,Catharus minimus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
436,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Coquillettidia,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
437,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Culex,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
438,Eastern equine encephalitis virus,Equus caballus,Eastern equine encephalitis,Aedes,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
439,Eastern equine encephalitis virus,Equus caballus,Eastern equine encephalitis,Coquillettidia,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
440,Eastern equine encephalitis virus,Equus caballus,Eastern equine encephalitis,Culex,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
441,Eastern equine encephalitis virus,Catharus ustulatus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
442,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Aedes albopictus,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
443,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
444,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Ochlerotatus canadensis,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
445,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Ochlerotatus sollicitans,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
446,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Aedes vexans,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
447,Eastern equine encephalitis virus,Equus caballus,Eastern equine encephalitis,Aedes vexans,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/eeefact.htm,
448,Eastern equine encephalitis virus,Equus caballus,Eastern equine encephalitis,Coquillettidia perturbans,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
449,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Culiseta melanura,vector-borne bite,skin,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
450,Eastern equine encephalitis virus,Catharus guttatus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
451,Eastern equine encephalitis virus,Catharus fuscescens,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
452,Eastern equine encephalitis virus,Ailuroedus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
453,Eastern equine encephalitis virus,Argynnis pandora,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
454,Eastern equine encephalitis virus,Pipilo erythrophthalmus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
455,Eastern equine encephalitis virus,Melospiza melodia,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
456,Eastern equine encephalitis virus,Melospiza georgiana,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
457,Eastern equine encephalitis virus,Zonotrichia albicollis,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
458,Eastern equine encephalitis virus,Cyanocitta cristata,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14740882,PMID:14740882,
459,Eastern equine encephalitis virus,Vireo olivaceus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
460,Eastern equine encephalitis virus,Vireo griseus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
461,Eastern equine encephalitis virus,Thryothorus ludovicianus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
462,Eastern equine encephalitis virus,Baeolophus bicolor,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
463,Eastern equine encephalitis virus,Parus carolinensis,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
464,Eastern equine encephalitis virus,Parus atricapillus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
465,Eastern equine encephalitis virus,Oporornis formosus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
466,Eastern equine encephalitis virus,Mniotilta varia,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
467,Eastern equine encephalitis virus,Geothlypis,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
468,Eastern equine encephalitis virus,Seiurus aurocapilla,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
469,Eastern equine encephalitis virus,Picoides pubescens,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
470,Eastern equine encephalitis virus,Picoides villosus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
471,Eastern equine encephalitis virus,Turdus migratorius,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
472,Eastern equine encephalitis virus,Carduelis tristis,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
473,Eastern equine encephalitis virus,Hirundo rustica,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
474,Eastern equine encephalitis virus,Passer domesticus,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
475,Eastern equine encephalitis virus,Argynnis pandora,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
476,Eastern equine encephalitis virus,Quiscalus quiscula,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
477,Eastern equine encephalitis virus,Sturnidae,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
478,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Culiseta morsitans,vector-borne bite,skin,PMID:16810146,PMID:16810146,
479,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Coquillettidia perturbans,vector-borne bite,skin,PMID:16810146,PMID:16810146,
480,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Culex pipiens,vector-borne bite,skin,PMID:16810146,PMID:16810146,
481,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Aedes cinereus,vector-borne bite,skin,PMID:16810146,PMID:16810146,
482,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Aedes japonicus japonicus,vector-borne bite,skin,PMID:16810146,PMID:16810146,
483,Eastern equine encephalitis virus,Homo sapiens,Eastern equine encephalitis,Culex erraticus,vector-borne bite,skin,PMID:16501661,PMID:16501661,
484,Eastern equine encephalitis virus,Canis lupus familiaris,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:16475527,PMID:16475527,
485,Eastern equine encephalitis virus,Triatoma sanguisuga,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:16475527,PMID:16475527,
486,Eastern equine encephalitis virus,Sus scrofa,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:16475527,PMID:16475527,
487,Eastern equine encephalitis virus,Bos taurus,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:16475527,PMID:16475527,
488,Eastern equine encephalitis virus,Capra hircus,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:16475527,PMID:16475527,
489,Eastern equine encephalitis virus,Spheniscus demersus,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:15989191,PMID:15989191,
490,Eastern equine encephalitis virus,Ardea alba,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
491,Eastern equine encephalitis virus,Ovis aries,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:15945389,PMID:15945389,
492,Eastern equine encephalitis virus,Meleagris gallopavo,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
493,Eastern equine encephalitis virus,Phasianus colchicus,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234;PMID:7757923,PMID:14567234;PMID:7757923,
494,Eastern equine encephalitis virus,Columba livia,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
495,Eastern equine encephalitis virus,Dromaius novaehollandiae,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
496,Eastern equine encephalitis virus,Struthioniformes,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
497,Eastern equine encephalitis virus,Alectoris chukar,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
498,Eastern equine encephalitis virus,Ardea herodias,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
499,Eastern equine encephalitis virus,Platalea ajaja,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
500,Eastern equine encephalitis virus,Ardea alba,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234;PMID:8028106,PMID:14567234;PMID:8028106,
501,Eastern equine encephalitis virus,Egretta caerulea,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
502,Eastern equine encephalitis virus,Mycteria americana,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
503,Eastern equine encephalitis virus,Bubulcus ibis,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14567234,PMID:14567234,
504,Eastern equine encephalitis virus,Dromaiidae,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:15945389,PMID:15945389,
505,Eastern equine encephalitis virus,Galliformes,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:15945389,PMID:15945389,
506,Eastern equine encephalitis virus,Grus americana,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:15945389,PMID:15945389,
507,Eastern equine encephalitis virus,Lanius ludovicianus,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:15945389,PMID:15945389,
508,Eastern equine encephalitis virus,Equus caballus,Eastern equine encephalitis,undocumented,undocumented,undocumented,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,URL:http://www.cdc.gov/ncidod/dvbid/arbor/arboguid.pdf,
509,Eastern equine encephalitis virus,Odocoileus virginianus,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:15827230,PMID:15827230,
510,Eastern equine encephalitis virus,Corvus brachyrhynchos,Eastern equine encephalitis,undocumented,undocumented,undocumented,PMID:14740882,PMID:14740882,
