#pathogen_cv=ncbi_taxonomy,gemina_curation									
#curation_cv=gemina _curation									
#source_cv=ncbi_taxonomy,ENVO,gemina_curation,gemina_anatomy									
#disease_cv=DOID,gemina_curation									
#portal_cv=gemina_anatomy,gemina_curation									
#infection_atts_cv=gemina_curation,symptoms,infection_attribute									
#transmission_atts_cv=transmission_attribute									
#trans_type_cv=gemina_curation,transmission_process									
#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments
7610	Influenza A virus (A/swine/Ontario/K01477/01(H3N3))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7611	Influenza A virus (A/swine/Pingtung/199-2/2002(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7612	Influenza A virus (A/swine/Pingtung/7-12/1999(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7613	Influenza A virus (A/swine/Pingtung/92-2/2003(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7614	Influenza A virus (A/swine/Potsdam/123/81(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7615	Influenza A virus (A/swine/Potsdam/15/81(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7616	Influenza A virus (A/swine/Potsdam/194/90(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7617	Influenza A virus (A/swine/Potsdam/282/90(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7618	Influenza A virus (A/swine/Potsdam/35/82(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7619	Influenza A virus (A/swine/QC81(H1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7620	Influenza A virus (A/swine/QC91(H1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7621	Influenza A virus (A/swine/Quebec/192/81(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7622	Influenza A virus (A/swine/Quebec/5393/91(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7623	Influenza A virus (A/swine/Quebec/Biovet1/05(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7624	Influenza A virus (A/swine/Re220/92(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7625	Influenza A virus (A/swine/Saskatchewan/18789/02(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7626	Influenza A virus (A/swine/Schwerin/103/89(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7627	Influenza A virus (A/swine/Schwerin/182/87(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7628	Influenza A virus (A/swine/Scotland/410440/94(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7629	Influenza A virus (A/swine/Shandong/2/03(H5N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7630	Influenza A virus (A/swine/Shandong/na/2003(H9N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7631	Influenza A virus (A/swine/Shandong/nb/2003(H9N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7632	Influenza A virus (A/swine/Shandong/nc/2005(H9N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7633	Influenza A virus (A/swine/Shizuoka/120/97(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7634	Influenza A virus (A/swine/Someren/14A/96(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7635	Influenza A virus (A/swine/Someren/14C/96(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7636	Influenza A virus (A/swine/Someren/14J/96(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7637	Influenza A virus (A/swine/Someren/14M/96(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7638	Influenza A virus (A/swine/Spain/33601/2001(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7639	Influenza A virus (A/swine/Spain/39139/2002(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7640	Influenza A virus (A/swine/Spain/50047/2003(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7641	Influenza A virus (A/swine/Spain/51915/2003(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7642	Influenza A virus (A/swine/Spain/53207/2004(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7643	Influenza A virus (A/swine/Spain/54008/2004(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7644	Influenza A virus (A/swine/St. Anthonis/16B/1996(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7645	Influenza A virus (A/swine/St. Anthonis/16F/1996(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7646	Influenza A virus (A/swine/St-Hyacinthe/106/1991(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7647	Influenza A virus (A/swine/St-Hyacinthe/106/1991(H1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7648	Influenza A virus (A/swine/St-Hyacinthe/148/1990(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7649	Influenza A virus (A/swine/St.Oedenrode/7C/96(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7650	Influenza A virus (A/swine/Taichung/200-8/2002(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7651	Influenza A virus (A/swine/Taiwan/0408/2004(H3N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7652	Influenza A virus (A/Swine/Taiwan/7310/70(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7653	Influenza A virus (A/swine/Taiwan/CO935/2004(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7654	Influenza A virus (A/swine/Tennessee/24/1977(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7656	Influenza A virus (A/swine/Tennessee/25/1977(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7657	Influenza A virus (A/swine/Tennessee/26/1977(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7658	Influenza A virus (A/Swine/Texas/4199-2/98(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7659	Influenza A virus (A/swine/Ukkel/1/1984(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7660	Influenza A virus (A/swine/United Kingdom/119404/91(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7661	Influenza A virus (A/Swine/Utrecht/4/85(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7662	Influenza A virus (A/swine/Wadayama/5/69(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7663	Influenza A virus (A/swine/Wisconsin/1915/1988(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7664	Influenza A virus (A/swine/Wisconsin/1/1957(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7665	Influenza A virus (A/swine/Wisconsin/1/1961(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7666	Influenza A virus (A/swine/Wisconsin/1/1967(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7667	Influenza A virus (A/swine/Wisconsin/125/97(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7668	Influenza A virus (A/Swine/Wisconsin/136/97(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7669	Influenza A virus (A/Swine/Wisconsin/14094/99(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7670	Influenza A virus (A/swine/Wisconsin/15/1930(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7672	Influenza A virus (A/Swine/Wisconsin/163/97(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7673	Influenza A virus (A/Swine/Wisconsin/164/97(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7674	Influenza A virus (A/Swine/Wisconsin/166/97(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7675	Influenza A virus (A/Swine/Wisconsin/168/97(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7677	Influenza A virus (A/swine/Wisconsin/194/1980(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7678	Influenza A virus (A/Swine/Wisconsin/235/97(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7679	Influenza A virus (A/swine/Wisconsin/238/97(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7680	Influenza A virus (A/Swine/Wisconsin/457/98(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7681	Influenza A virus (A/swine/Wisconsin/458/98(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7682	Influenza A virus (A/swine/Wisconsin/464/98(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7683	Influenza A virus (A/swine/Wisconsin/OM/2/1976(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7685	Influenza A virus (A/swine/Zhejiang/1/2004(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7686	Influenza A virus (A/Switzerland/3100/2002(H1N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7687	Influenza A virus (A/Switzerland/5389/95 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7688	Influenza A virus (A/Switzerland/5684/2001(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7689	Influenza A virus (A/Switzerland/5773/2001(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7690	Influenza A virus (A/Switzerland/7729/98(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7691	Influenza A virus (A/Switzerland/8808/2002(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7692	Influenza A virus (A/Switzerland/9243/99 (H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7693	Influenza A virus (A/sw/Kanagawa/2/1978(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7694	Influenza A virus (A/SW/KS/13481-S/00(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7695	Influenza A virus (A/SW/KS/13481-T/00(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7696	Influenza A virus (A/SW/MN/12883/00(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7697	Influenza A virus (A/SW/MN/13124-S/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7698	Influenza A virus (A/SW/MN/13130/00(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7699	Influenza A virus (A/SW/MN/16356/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7700	Influenza A virus (A/SW/MN/16419/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7701	Influenza A virus (A/SW/MN/1662/99(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7702	Influenza A virus (A/SW/MN/17138/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7703	Influenza A virus (A/SW/MN/22860-S/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7704	Influenza A virus (A/SW/MN/22860-T/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7705	Influenza A virus (A/SW/MN/23124-S/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7706	Influenza A virus (A/SW/MN/23124-T/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7707	Influenza A virus (A/SW/MN/3128/00(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7708	Influenza A virus (A/SW/MN/3227/00(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7709	Influenza A virus (A/SW/MN/3327/00(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7710	Influenza A virus (A/SW/MN/34893/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7711	Influenza A virus (A/SW/MO/1877/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7712	Influenza A virus (A/SW/MO/18777/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7713	Influenza A virus (A/SW/NC/17366/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7714	Influenza A virus (A/SW/NC/45319/99(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7715	Influenza A virus (A/SW/NE/18339/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7716	Influenza A virus (A/SW/NE/21147/01(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7717	Influenza A virus (A/sw/Obihiro/1/1993(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7718	Influenza A virus (A/sw/Obihiro/1/1994(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7719	Influenza A virus (A/sw/Obihiro/2/1993(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7720	Influenza A virus (A/sw/Obihiro/3/1993(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7721	Influenza A virus (A/sw/Obihiro/5/1992(H1N1))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7722	Influenza A virus (A/SW/OH/7802/00(H1N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7723	Influenza A virus (A/Sw/ShanDong/1/2003(H9N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7724	Influenza A virus (A/sw/Shizuoka/110/97(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7725	Influenza A virus (A/sw/Shizuoka/115/97(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7726	Influenza A virus (A/sw/Shizuoka/119/97(H3N2))	Sus scrofa	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7727	Influenza A virus (A/Sydney/5/1997(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7728	Influenza A virus (A/Sydney/05/97-like(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7729	Influenza A virus (A/Sydney/1/1987(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7730	Influenza A virus (A/Sydney/4/97(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7731	Influenza A virus (A/Sydney/52/2005(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7732	Influenza A virus (A/Sydney/5/1997(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7733	Influenza A virus (A/Sydney/6/97(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7734	Influenza A virus (A/Tainan/704/03(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7735	Influenza A virus (A/Tainan/712/03(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7736	Influenza A virus (A/Tainan/722/03(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7737	Influenza A virus (A/Taipei/407/03(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7738	Influenza A virus (A/Taipei/416/03(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7739	Influenza A virus (A/Tairawhiti/223/2004(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7740	Influenza A virus (A/Tairawhiti/369/2004(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7741	Influenza A virus (A/Taiwan/0012/2000 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7742	Influenza A virus (A/Taiwan/0016/2000 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7743	Influenza A virus (A/Taiwan/0020/98 (H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7744	Influenza A virus (A/Taiwan/0030/2000 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7745	Influenza A virus (A/Taiwan/0032/2002(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7746	Influenza A virus (A/Taiwan/0040/2003(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7747	Influenza A virus (A/Taiwan/0045/98 (H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7748	Influenza A virus (A/Taiwan/0061/2002(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7749	Influenza A virus (A/Taiwan/0069/2002(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7750	Influenza A virus (A/Taiwan/0078/2002(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7751	Influenza A virus (A/Taiwan/0094/2002(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7752	Influenza A virus (A/Taiwan/0097/2003(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7753	Influenza A virus (A/Taiwan/0104/2001 (H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7754	Influenza A virus (A/Taiwan/0116/2002(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7755	Influenza A virus (A/Taiwan/01/1986(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7756	Influenza A virus (A/Taiwan/0122/2003(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7757	Influenza A virus (A/Taiwan/0130/96 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7758	Influenza A virus (A/Taiwan/0132/96 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7759	Influenza A virus (A/Taiwan/0211/96 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7760	Influenza A virus (A/Taiwan/0235/96 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7761	Influenza A virus (A/Taiwan/0255/96 (H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
7762	Influenza A virus (A/Taiwan/0275/2000 (H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
