#pathogen_cv=ncbi_taxonomy,gemina_curation									
#curation_cv=gemina _curation									
#source_cv=ncbi_taxonomy,ENVO,gemina_curation,gemina_anatomy									
#disease_cv=DOID,gemina_curation									
#portal_cv=gemina_anatomy,gemina_curation									
#infection_atts_cv=gemina_curation,symptoms,infection_attribute									
#transmission_atts_cv=transmission_attribute									
#trans_type_cv=gemina_curation,transmission_process									
#id	pathogen	source	disease	trans_source	trans_type	portal	infection_atts	trans_atts	#comments
64	Influenza A virus (A/Akita/1/94(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
65	Influenza A virus (A/Akita/4/93(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
66	Influenza A virus (A/Akita/86/2002(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
67	Influenza A virus (A/Alabama/1/1981(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
68	Influenza A virus (A/Alabama/1/2003(H1N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
69	Influenza A virus (A/Alaska/10/95(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
70	Influenza A virus (A/Alaska/11/2003(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
71	Influenza A virus (A/Alaska/1173/00(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
72	Influenza A virus (A/Alaska/16/95(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
73	Influenza A virus (A/Alaska/1/69(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
74	Influenza A virus (A/Alaska/18/93(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
75	Influenza A virus (A/Alaska/2/96(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
76	Influenza A virus (A/Alaska/6/1977(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
77	Influenza A virus (A/Alaska/84(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
78	Influenza A virus (A/Alaska/9/92(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
79	Influenza A virus (A/Albany/1/63(H2N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
80	Influenza A virus (A/Albany/1/65(H2N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
81	Influenza A virus (A/Albany/6/58(H2N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
82	Influenza A virus (A/Albany/7/57 (H2N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
83	Influenza A virus (A/Alma Ata/1417/84(H1N1))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
84	Influenza A virus (A/Amsterdam/1609/77(H3N2))	Homo sapiens	Influenza	not curated	not curated	not curated	URL:http://ncbi.nlm.nih.gov/genomes/FLU/FLU.html		
